<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIXP;D;20210826;000000;664.8;684;656.4;676.1;71129;0
FIXP;D;20210827;000000;684;690;679.5;685.9;72516;0
FIXP;D;20210830;000000;690;700;675.3;680;86722;0
FIXP;D;20210831;000000;683.5;690.5;670;674.1;56906;0
FIXP;D;20210901;000000;682.9;686.9;660.6;668.2;64738;0
FIXP;D;20210902;000000;670;678.4;660;667.1;82404;0
FIXP;D;20210903;000000;668;671.5;640.1;657.6;132399;0
FIXP;D;20210906;000000;658;669.9;645;648.1;69975;0
FIXP;D;20210907;000000;650;650;627.1;637.3;106563;0
FIXP;D;20210908;000000;635.2;653.2;626.3;652.9;61507;0
FIXP;D;20210909;000000;652;652;628.4;628.6;65165;0
FIXP;D;20210910;000000;633;645;628.5;642.4;90263;0
FIXP;D;20210913;000000;650;650;595.2;602.8;363905;0
FIXP;D;20210914;000000;602.6;615;589.2;610.7;347433;0
FIXP;D;20210915;000000;610.9;616;596;604.3;215101;0
FIXP;D;20210916;000000;606;618.7;598.2;612.1;290642;0
FIXP;D;20210917;000000;612.1;628;608.1;622.3;248955;0
FIXP;D;20210920;000000;622.3;629.3;610.9;615;190659;0
FIXP;D;20210921;000000;623.8;623.9;605;609.3;151445;0
FIXP;D;20210922;000000;612.5;618;599;610;127341;0
FIXP;D;20210923;000000;601;638.6;600.6;628.9;215780;0
FIXP;D;20210924;000000;631;660;625;643.1;272355;0
FIXP;D;20210927;000000;633.7;649.4;631.3;638.5;136463;0
FIXP;D;20210928;000000;645.9;676.2;639.3;668.6;319092;0
FIXP;D;20210929;000000;664;669;652.8;664;189883;0
FIXP;D;20210930;000000;665.9;666.5;644;647.4;191847;0
FIXP;D;20211001;000000;653.2;672;648.4;655;169839;0
FIXP;D;20211004;000000;655;661.7;633.2;638.5;174198;0
FIXP;D;20211005;000000;645;654.3;636;647.9;121313;0
FIXP;D;20211006;000000;652;664;638.8;652.1;204996;0
FIXP;D;20211007;000000;659.9;671.8;652.5;655;200689;0
FIXP;D;20211008;000000;664.3;669;656.9;665.2;141088;0
FIXP;D;20211011;000000;671;671;649;658.1;357866;0
FIXP;D;20211012;000000;661.4;661.6;648.2;649;96851;0
FIXP;D;20211013;000000;648.1;655.4;631.7;644.4;149447;0
FIXP;D;20211014;000000;646.8;647.5;638;640.3;66514;0
FIXP;D;20211015;000000;635;648;635;645;99279;0
FIXP;D;20211018;000000;646.7;646.7;626.2;632.1;179538;0
FIXP;D;20211019;000000;630;634.1;621.6;630.4;147371;0
FIXP;D;20211020;000000;630.4;631.3;611.1;627;202314;0
FIXP;D;20211021;000000;622;633;610;629.6;143966;0
FIXP;D;20211022;000000;632;632;610.7;611.2;210293;0
FIXP;D;20211025;000000;610;622;603.2;619.1;132762;0
FIXP;D;20211026;000000;621.6;621.6;609;609.4;134591;0
FIXP;D;20211027;000000;616;620;609.5;615;155948;0
FIXP;D;20211028;000000;617;618;603.5;609.8;157837;0
FIXP;D;20211029;000000;612;625;605.9;620.8;184635;0
FIXP;D;20211101;000000;623.4;635.7;611;630.6;159854;0
FIXP;D;20211102;000000;635;635.9;608.4;616.4;289159;0
FIXP;D;20211103;000000;618;618;601;606.5;192867;0
FIXP;D;20211105;000000;609;609;590.2;597.3;275981;0
FIXP;D;20211108;000000;600.7;603.7;594.2;598.6;118400;0
FIXP;D;20211109;000000;603.5;603.9;594;600.1;183569;0
FIXP;D;20211110;000000;602.9;611.8;594.9;601.2;284879;0
FIXP;D;20211111;000000;606.8;624;595.2;619.5;277449;0
FIXP;D;20211112;000000;619.8;622.5;604;610.4;255813;0
FIXP;D;20211115;000000;610.4;612.8;597;601.6;251104;0
FIXP;D;20211116;000000;606.9;606.9;591.2;593;179816;0
FIXP;D;20211117;000000;594.1;600.5;581.5;586.2;267006;0
FIXP;D;20211118;000000;589;589.3;569.7;576.4;313672;0
FIXP;D;20211119;000000;579.8;586;577.6;582.8;156560;0
FIXP;D;20211122;000000;582.8;606.4;561.6;582.1;591419;0
FIXP;D;20211123;000000;582.1;595;555;564.4;494456;0
FIXP;D;20211124;000000;565.1;569.3;550.2;554.8;299601;0
FIXP;D;20211125;000000;554.8;582.7;554;571;296304;0
FIXP;D;20211126;000000;565.1;570;552;555.5;222566;0
FIXP;D;20211129;000000;568.5;571.9;548.4;569;192435;0
FIXP;D;20211130;000000;563.6;581.9;559;574.9;220586;0
FIXP;D;20211201;000000;575.2;591;574;585.9;165477;0
FIXP;D;20211202;000000;585.9;592.8;570;578.5;162304;0
FIXP;D;20211203;000000;578.5;586.9;570;579.9;200757;0
FIXP;D;20211206;000000;580.6;597;561.6;570;168538;0
FIXP;D;20211207;000000;570;598;564.6;584.6;320309;0
FIXP;D;20211208;000000;590;603.2;584.6;601.2;350269;0
FIXP;D;20211209;000000;603;605;570.1;604.4;268308;0
FIXP;D;20211210;000000;604.9;605.5;588;592;268171;0
FIXP;D;20211213;000000;599.9;604.9;568.6;591.2;354118;0
FIXP;D;20211214;000000;586.9;600;568.5;579;308940;0
FIXP;D;20211215;000000;583.9;599.6;557.1;566.9;237833;0
FIXP;D;20211216;000000;569.3;575;559.2;563.9;495085;0
FIXP;D;20211217;000000;569.3;569.3;551.3;559.5;201966;0
FIXP;D;20211220;000000;559.5;560.3;547;558;187634;0
FIXP;D;20211221;000000;559.7;565.8;554.2;560;205036;0
FIXP;D;20211222;000000;560;562.5;550.5;550.5;210168;0
FIXP;D;20211223;000000;551.1;557.4;538.7;541;249541;0
FIXP;D;20211224;000000;546.7;552.2;539;544.6;209868;0
FIXP;D;20211227;000000;544.6;554;540;541.6;175037;0
FIXP;D;20211228;000000;546.8;546.8;539.3;539.5;233668;0
FIXP;D;20211229;000000;539.5;557;451;550;983483;0
FIXP;D;20211230;000000;550;556.1;540;547.5;304704;0
