<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
LKOH;D;20200605;000000;5475;5511.5;5434;5460;1219880;0
LKOH;D;20200608;000000;5490;5527.5;5351;5372;1556899;0
LKOH;D;20200609;000000;5400;5428.5;5305.5;5425;1389731;0
LKOH;D;20200610;000000;5410;5432;5314;5342;1522348;0
LKOH;D;20200611;000000;5305;5355.5;5269;5350;1439733;0
LKOH;D;20200615;000000;5220;5278;5120;5264;1755519;0
LKOH;D;20200616;000000;5327;5474.5;5310;5392;1603882;0
LKOH;D;20200617;000000;5418;5441.5;5301;5343;1356719;0
LKOH;D;20200618;000000;5330;5376;5290;5347;1228987;0
LKOH;D;20200619;000000;5411.5;5490;5389;5460;1875155;0
LKOH;D;20200622;000000;5436.5;5504.5;5392;5469;953886;0
LKOH;D;20200623;000000;5480;5507;5437.5;5452;955678;0
LKOH;D;20200625;000000;5325;5402;5310.5;5394;1556993;0
LKOH;D;20200626;000000;5388;5407;5303;5321.5;768876;0
LKOH;D;20200629;000000;5303;5327;5266.5;5315;976763;0
LKOH;D;20200630;000000;5310;5355;5279.5;5313;918107;0
LKOH;D;20200702;000000;5339.5;5422;5322.5;5416;1035932;0
LKOH;D;20200703;000000;5415.5;5431;5375.5;5416.5;481273;0
LKOH;D;20200706;000000;5451.5;5512;5450;5483.5;1127200;0
LKOH;D;20200707;000000;5475;5492.5;5429.5;5464;1013493;0
LKOH;D;20200708;000000;5465;5479;5405;5457;1425218;0
LKOH;D;20200709;000000;5157.5;5175;5061;5087;1707338;0
LKOH;D;20200710;000000;5048.5;5103;5026.5;5098;1016953;0
LKOH;D;20200713;000000;5116;5133.5;4909;4926.5;1215943;0
LKOH;D;20200714;000000;4933.5;4933.5;4784;4884;2045003;0
LKOH;D;20200715;000000;4901.5;4997;4865;4949.5;2058939;0
LKOH;D;20200716;000000;4929;4974;4895;4944.5;795472;0
LKOH;D;20200717;000000;4950.5;4972;4911;4946.5;558511;0
LKOH;D;20200720;000000;4948;4970;4910;4937;852694;0
LKOH;D;20200721;000000;4955;5005;4932.5;4953;1544015;0
LKOH;D;20200722;000000;4964.5;5063;4953;5037;1301767;0
LKOH;D;20200723;000000;5060;5089.5;4963.5;4974;1037388;0
LKOH;D;20200724;000000;4968;5010;4941.5;4987;1137981;0
LKOH;D;20200727;000000;4992.5;5039;4978;5013.5;962018;0
LKOH;D;20200728;000000;5021.5;5050;4976.5;5023;1101369;0
LKOH;D;20200729;000000;5034;5193;5022;5184.5;1821741;0
LKOH;D;20200730;000000;5170;5178;5055;5115;1138124;0
LKOH;D;20200731;000000;5114;5130;5051;5087.5;863152;0
LKOH;D;20200803;000000;5071;5087;5028;5037;827349;0
LKOH;D;20200804;000000;5052.5;5060;5002;5038.5;781024;0
LKOH;D;20200805;000000;5051;5155;5042;5136;1200589;0
LKOH;D;20200806;000000;5150.5;5174;5091;5130;882244;0
LKOH;D;20200807;000000;5112.5;5125.5;5066;5088;555614;0
LKOH;D;20200810;000000;5100;5153;5090;5112;649398;0
LKOH;D;20200811;000000;5115;5210;5113;5170;1302635;0
LKOH;D;20200812;000000;5188.5;5303.5;5188;5303;1089062;0
LKOH;D;20200813;000000;5300;5387;5252.5;5312;1023846;0
LKOH;D;20200814;000000;5323;5324;5234.5;5284.5;716916;0
LKOH;D;20200817;000000;5303;5321.5;5235;5281.5;678496;0
LKOH;D;20200818;000000;5255;5296;5231;5268.5;708172;0
LKOH;D;20200819;000000;5266;5313;5233;5246.5;629903;0
LKOH;D;20200820;000000;5220;5231;5088;5137.5;1222612;0
LKOH;D;20200821;000000;5150.5;5158;5027;5092.5;1040443;0
LKOH;D;20200824;000000;5110;5198;5103.5;5186;880228;0
LKOH;D;20200825;000000;5199.5;5228;5145;5220;972995;0
LKOH;D;20200826;000000;5230;5288;5197;5278;796121;0
LKOH;D;20200827;000000;5286;5292.5;5154;5174;1030676;0
LKOH;D;20200828;000000;5170;5178.5;5056.5;5082;777889;0
LKOH;D;20200831;000000;5095.5;5128.5;4960;4991;1417013;0
LKOH;D;20200901;000000;5010;5016;4917;4949;1287005;0
LKOH;D;20200902;000000;4952.5;4978.5;4828.5;4852;1545931;0
LKOH;D;20200903;000000;4840;4898;4795.5;4814;1514280;0
LKOH;D;20200904;000000;4802;4888;4802;4858;964480;0
LKOH;D;20200907;000000;4829;4850;4790;4795;647618;0
LKOH;D;20200908;000000;4801;4822;4684.5;4719.5;1302271;0
LKOH;D;20200909;000000;4701;4758.5;4664;4709;1082040;0
LKOH;D;20200910;000000;4716;4736;4631.5;4661;1072846;0
LKOH;D;20200911;000000;4667.5;4749;4645.5;4725.5;822491;0
LKOH;D;20200914;000000;4749.5;4804.5;4733;4752.5;946469;0
LKOH;D;20200915;000000;4755;4884;4735;4876;1499032;0
LKOH;D;20200916;000000;4893;4929.5;4821.5;4863.5;1354314;0
LKOH;D;20200917;000000;4813.5;4821;4750.5;4793.5;1540812;0
LKOH;D;20200918;000000;4805;4815.5;4655;4677;2915521;0
LKOH;D;20200921;000000;4664;4665;4462;4511;2314832;0
LKOH;D;20200922;000000;4504;4560;4458;4529;1449534;0
LKOH;D;20200923;000000;4525;4542;4443.5;4456;1339531;0
LKOH;D;20200924;000000;4459.5;4584.5;4410;4563;1625362;0
LKOH;D;20200925;000000;4578.5;4600.5;4478;4560;1163926;0
LKOH;D;20200928;000000;4574.5;4634.5;4552;4627;1053803;0
LKOH;D;20200929;000000;4629;4644.5;4484;4508.5;1596613;0
LKOH;D;20200930;000000;4487;4520.5;4457;4470;1018573;0
LKOH;D;20201001;000000;4489;4506.5;4390.5;4408.5;1025318;0
LKOH;D;20201002;000000;4376.5;4382.5;4313;4379;1220040;0
LKOH;D;20201005;000000;4405.5;4487;4363.5;4479;1229441;0
LKOH;D;20201006;000000;4492;4563.5;4486.5;4519.5;1156151;0
LKOH;D;20201007;000000;4504;4527;4398.5;4474;1172361;0
LKOH;D;20201008;000000;4481.5;4503;4431;4498;954794;0
LKOH;D;20201009;000000;4510;4510.5;4411;4451.5;853414;0
LKOH;D;20201012;000000;4444;4493.5;4428;4445;612369;0
LKOH;D;20201013;000000;4440;4473;4364;4374.5;798784;0
LKOH;D;20201014;000000;4371.5;4385.5;4326;4364.5;932158;0
LKOH;D;20201015;000000;4352;4362.5;4231;4271;1447902;0
LKOH;D;20201016;000000;4260;4301;4200.5;4253;1483662;0
LKOH;D;20201019;000000;4280;4296;4171;4194;824375;0
LKOH;D;20201020;000000;4185;4289;4164;4270;951566;0
LKOH;D;20201021;000000;4297;4297;4202;4211.5;875044;0
LKOH;D;20201022;000000;4190;4318;4182;4307.5;1087150;0
LKOH;D;20201023;000000;4305;4374.5;4287.5;4325;1004104;0
LKOH;D;20201026;000000;4289.5;4301.5;4205;4223;884878;0
LKOH;D;20201027;000000;4235;4249.5;4111;4123.5;1238276;0
LKOH;D;20201028;000000;4095;4109.5;3961;4012.5;2009306;0
LKOH;D;20201029;000000;4035.5;4080;3996;4057.5;1375834;0
LKOH;D;20201030;000000;4001;4089;3970;4050;1228320;0
LKOH;D;20201102;000000;4020;4165;3992;4162;1698996;0
LKOH;D;20201103;000000;4160;4269.5;4160;4252;1530896;0
LKOH;D;20201105;000000;4300.5;4379;4279.5;4321.5;1398804;0
LKOH;D;20201106;000000;4306;4418.5;4272;4396;1366027;0
LKOH;D;20201109;000000;4455;4820;4420;4755;4572008;0
LKOH;D;20201110;000000;4750;4950;4702;4884.5;3271228;0
LKOH;D;20201111;000000;4920.5;4996;4916.5;4945;2667838;0
LKOH;D;20201112;000000;4900;4939.5;4821.5;4853;1865295;0
LKOH;D;20201113;000000;4830;4900;4795;4879;947188;0
LKOH;D;20201116;000000;4901;4949.5;4861;4932.5;1404218;0
LKOH;D;20201117;000000;4943;4954;4796.5;4864;1513399;0
LKOH;D;20201118;000000;4841;4972;4818;4890;1367818;0
LKOH;D;20201119;000000;4880;4937;4850;4916;1214118;0
LKOH;D;20201120;000000;4915;4952;4877.5;4948.5;767359;0
LKOH;D;20201123;000000;4962;5046.5;4945.5;5026.5;1805934;0
LKOH;D;20201124;000000;5056;5179.5;5050;5179.5;2122623;0
LKOH;D;20201125;000000;5192;5395;5141.5;5392.5;3141954;0
LKOH;D;20201126;000000;5396;5400;5236;5243;1827082;0
LKOH;D;20201127;000000;5230;5269.5;5164.5;5260;1650507;0
LKOH;D;20201130;000000;5200;5250;4982;5063;3722676;0
LKOH;D;20201201;000000;5072;5121;5022;5058.5;1507829;0
LKOH;D;20201202;000000;5034;5199;5024;5167;1544646;0
LKOH;D;20201203;000000;5172;5184.5;4988;5053;2013518;0
LKOH;D;20201204;000000;5122;5195;5090.5;5122;1514440;0
LKOH;D;20201207;000000;5103.5;5143;5035.5;5039.5;1185738;0
