<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SBER;D;20171115;000000;222.5;227.75;221.54;225.95;72212510;0
SBER;D;20171116;000000;227.79;228.58;219.09;227.5;85863110;0
SBER;D;20171117;000000;227.9;228;224.1;225.65;37958790;0
SBER;D;20171120;000000;225.7;225.97;223.16;224.6;18853280;0
SBER;D;20171121;000000;225.5;232.99;224.07;231;77573460;0
SBER;D;20171122;000000;231.89;233.95;228.38;230.25;45932160;0
SBER;D;20171123;000000;230.26;230.99;225.06;225.56;41140440;0
SBER;D;20171124;000000;225.4;228;222.15;228;44277250;0
SBER;D;20171127;000000;228.4;229.04;225;226.76;24026270;0
SBER;D;20171128;000000;221;230;221;230;40901370;0
SBER;D;20171129;000000;230.1;231.5;226.7;228.2;34340960;0
SBER;D;20171130;000000;228;228.92;222.35;224.35;46122870;0
SBER;D;20171201;000000;224.5;225.76;220.76;221.5;39983910;0
SBER;D;20171204;000000;222;226;219.55;224.6;45155240;0
SBER;D;20171205;000000;224;224.55;222;223.91;27885630;0
SBER;D;20171206;000000;222.65;224.9;221.57;223.75;23136530;0
SBER;D;20171207;000000;223.83;224.79;219.23;219.81;38228880;0
SBER;D;20171208;000000;219.9;223;219.61;220.89;28324950;0
SBER;D;20171211;000000;221.4;227.69;221.1;227.69;34539660;0
SBER;D;20171212;000000;229;230.5;226.11;227.9;39739590;0
SBER;D;20171213;000000;227.3;228.33;220.54;221.8;61576220;0
SBER;D;20171214;000000;222.11;229.9;221.1;229.9;55632890;0
SBER;D;20171215;000000;228.9;229.79;225.57;226.53;42529200;0
SBER;D;20171218;000000;227.49;228.9;225.7;227.4;24519570;0
SBER;D;20171219;000000;227.99;228.5;223.5;224.1;34991830;0
SBER;D;20171220;000000;224.28;226.68;222.7;226;34199080;0
SBER;D;20171221;000000;226.46;227.39;222.35;223.6;34750260;0
SBER;D;20171222;000000;223.68;224.64;221.12;221.44;21524310;0
SBER;D;20171225;000000;222.22;223.9;221.65;223.3;11183210;0
SBER;D;20171226;000000;223.9;223.98;221;223.57;12303590;0
SBER;D;20171227;000000;224.01;227.2;223.1;226.98;30101220;0
SBER;D;20171228;000000;226.9;227.17;223;224.2;24078940;0
SBER;D;20171229;000000;224.12;226.2;223.27;225.2;18919860;0
SBER;D;20180103;000000;226.88;232.7;226.35;231.9;34549620;0
SBER;D;20180104;000000;232.13;239.5;231;238.8;53598520;0
SBER;D;20180105;000000;238.89;239.95;236.7;238.6;31579190;0
SBER;D;20180109;000000;239.03;243.76;239.01;240.4;53172330;0
SBER;D;20180110;000000;240.4;241.25;237.06;237.76;39371720;0
SBER;D;20180111;000000;237.76;240.88;235.21;239;43067630;0
SBER;D;20180112;000000;238.92;239;236.05;237.75;30895860;0
SBER;D;20180115;000000;239;240.97;238;238.85;25681720;0
SBER;D;20180116;000000;239.01;240;236.01;239.64;25475380;0
SBER;D;20180117;000000;238.62;239.82;236.53;239.82;30522070;0
SBER;D;20180118;000000;240.5;246.69;240;245.5;64156650;0
SBER;D;20180119;000000;245.15;245.98;240.68;242.45;38996990;0
SBER;D;20180122;000000;242.97;244.89;241.41;243.99;25098970;0
SBER;D;20180123;000000;244.77;246.25;241.67;244.4;43978210;0
SBER;D;20180124;000000;244.2;247.53;242.32;247.53;31180190;0
SBER;D;20180125;000000;247.9;251.65;247.58;250.64;54995210;0
SBER;D;20180126;000000;249.3;251.23;245.93;247;35231900;0
SBER;D;20180129;000000;247.5;250.79;246;250.48;49186400;0
SBER;D;20180130;000000;248.53;258.96;247.91;257.8;65622240;0
SBER;D;20180131;000000;257.5;264.79;255.7;264.5;63707920;0
SBER;D;20180201;000000;265;270.3;260.6;263.2;73041240;0
SBER;D;20180202;000000;263.69;264.83;256.2;257.32;64657160;0
SBER;D;20180205;000000;254.85;258.29;252.6;255.64;45926950;0
SBER;D;20180206;000000;250;262.55;248.1;258.94;85982110;0
SBER;D;20180207;000000;263.9;264.37;256.26;257.58;53641050;0
SBER;D;20180208;000000;256.4;259.76;253.19;253.19;37198300;0
SBER;D;20180209;000000;249.03;252.89;244.13;250.11;81984710;0
SBER;D;20180212;000000;253;256.36;251.67;255.05;41817940;0
SBER;D;20180213;000000;255.87;258.62;254.7;258.3;43733360;0
SBER;D;20180214;000000;259.07;263.37;257.26;262.03;60442410;0
SBER;D;20180215;000000;267.53;268.77;264;264.58;60907490;0
SBER;D;20180216;000000;265.97;267.97;263.11;266.99;51931210;0
SBER;D;20180219;000000;267;270;265.3;266.85;24171390;0
SBER;D;20180220;000000;266.85;267.8;264.72;267.22;24750090;0
SBER;D;20180221;000000;266.05;279.2;266.05;279.2;70374070;0
SBER;D;20180222;000000;277.99;279.5;275.52;277.49;50751740;0
SBER;D;20180226;000000;279;285;278.59;279.97;67733260;0
SBER;D;20180227;000000;280.82;280.99;276.61;278.21;40006960;0
SBER;D;20180228;000000;276;277.41;272;272.4;53012950;0
SBER;D;20180301;000000;270.98;277;270.9;275;38979860;0
SBER;D;20180302;000000;274.4;275.5;268.56;273;46027880;0
SBER;D;20180305;000000;273.7;278.84;273.5;277;34109000;0
SBER;D;20180306;000000;278.5;281.5;274.03;274.03;40605460;0
SBER;D;20180307;000000;272.99;276.72;270.15;274;49998920;0
SBER;D;20180309;000000;274.55;275.48;270.61;274.6;26351860;0
SBER;D;20180312;000000;276.05;277.3;273.55;274.3;23710370;0
SBER;D;20180313;000000;274;275.93;272.66;273.95;34643840;0
SBER;D;20180314;000000;273;273.4;262.11;262.5;61779660;0
SBER;D;20180315;000000;263;264.61;253.29;254.51;78054390;0
SBER;D;20180316;000000;255.29;257.98;249.76;256.15;91870960;0
SBER;D;20180319;000000;257.8;259.81;250.01;255;42502100;0
SBER;D;20180320;000000;255.98;257.34;250.4;257.15;62966810;0
SBER;D;20180321;000000;258;270;257.23;268.88;69909930;0
SBER;D;20180322;000000;269.97;271.8;264.1;265.5;55550150;0
SBER;D;20180323;000000;259.02;264.25;259.02;262;46285060;0
SBER;D;20180326;000000;262;264.87;255;255;56903720;0
SBER;D;20180327;000000;256.99;258.43;252.27;258;45163380;0
SBER;D;20180328;000000;255.5;256.12;250.75;251.5;43754240;0
SBER;D;20180329;000000;252.12;255.6;252.12;252.9;33625120;0
SBER;D;20180330;000000;254;254.49;252.8;253.57;10912160;0
SBER;D;20180402;000000;253.58;258.34;249.99;249.99;35436630;0
SBER;D;20180403;000000;250.01;251.93;245.38;251.6;63806710;0
SBER;D;20180404;000000;252.21;255.77;249.09;255.69;52051840;0
SBER;D;20180405;000000;257.25;262.89;255.92;262;52779220;0
SBER;D;20180406;000000;260.64;262.32;256.01;256.76;40256090;0
SBER;D;20180409;000000;255.05;255.3;205;213;250018990;0
SBER;D;20180410;000000;211.24;224.47;197;214.8;253346870;0
SBER;D;20180411;000000;214;223.6;204.24;208;185659760;0
SBER;D;20180412;000000;214.55;218.39;208.5;212.21;126954920;0
SBER;D;20180413;000000;213.37;216.7;203.14;204.7;106926900;0
SBER;D;20180416;000000;199.36;208;191.5;192.06;199704860;0
SBER;D;20180417;000000;203.02;207.87;200;207.5;169904570;0
SBER;D;20180418;000000;209;219.93;208.25;215.87;174039490;0
SBER;D;20180419;000000;217.34;222.22;212;213.45;133533840;0
SBER;D;20180420;000000;214;216.27;212.13;215.36;57871710;0
SBER;D;20180423;000000;216.48;223.5;213.22;223.25;116947630;0
SBER;D;20180424;000000;225.9;228.43;221.3;223;83961110;0
SBER;D;20180425;000000;220.15;223.78;218.2;220.45;69675890;0
SBER;D;20180426;000000;221.57;222.59;216;220.7;73277610;0
SBER;D;20180427;000000;221.36;224.43;217.62;223.91;81940000;0
SBER;D;20180428;000000;224.4;224.99;222.4;224.8;10314450;0
SBER;D;20180430;000000;224.5;228.2;221.58;226.99;39358910;0
SBER;D;20180502;000000;224.22;230;224.02;229.02;40017840;0
SBER;D;20180503;000000;228.4;232.74;227.5;228.03;79625270;0
SBER;D;20180504;000000;229.58;230.94;225.7;228.55;48163140;0
SBER;D;20180507;000000;230.17;232.18;229.06;229.86;37271570;0
SBER;D;20180508;000000;227.79;228.48;224.5;226.7;55972540;0
SBER;D;20180510;000000;228.5;234.14;228.37;233.7;72199030;0
SBER;D;20180511;000000;234.35;237.95;233.74;235.72;55080740;0
SBER;D;20180514;000000;236.21;237.8;234.03;237.8;34774680;0
SBER;D;20180515;000000;237.5;237.5;230.4;231.39;53009530;0
SBER;D;20180516;000000;230.88;232;226.7;229.8;70162450;0
SBER;D;20180517;000000;230.01;231.25;226.05;226.05;43455710;0
SBER;D;20180518;000000;225.7;228.16;222.2;222.2;60330030;0
SBER;D;20180521;000000;223.79;226.8;223.55;226.21;38991090;0
SBER;D;20180522;000000;227.27;227.27;222.95;225.6;43268320;0
SBER;D;20180523;000000;223.11;224.07;221;221;48854650;0
SBER;D;20180524;000000;221.91;223.7;221.12;222.01;37214260;0
SBER;D;20180525;000000;222.51;223.48;219;220;50137840;0
SBER;D;20180528;000000;219.47;221.5;219.2;220.9;23187310;0
SBER;D;20180529;000000;220.5;222.13;217.1;219;35940720;0
SBER;D;20180530;000000;219.3;221.55;217.88;221.01;48626980;0
SBER;D;20180531;000000;221.98;224.35;220;222.36;67415130;0
SBER;D;20180601;000000;221.5;222.77;220;220;35532280;0
SBER;D;20180604;000000;221.13;222.67;218.57;220;32256200;0
SBER;D;20180605;000000;220;220.79;214.51;215.56;51368750;0
SBER;D;20180606;000000;216;218.19;214.65;217.9;35857770;0
SBER;D;20180607;000000;218.94;219.45;216.41;216.41;32483420;0
SBER;D;20180608;000000;216;217;210.25;210.95;67632240;0
SBER;D;20180609;000000;211.5;213.27;211.5;212.6;6508460;0
SBER;D;20180611;000000;212.5;213.61;208.33;210.35;28263970;0
SBER;D;20180613;000000;211.23;216.13;209.63;215;48675610;0
