<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GMKN;D;20200522;000000;21800;22388;21524;22002;344113;0
GMKN;D;20200525;000000;22000;22418;21786;22394;187051;0
GMKN;D;20200526;000000;22620;22840;22034;22118;226211;0
GMKN;D;20200527;000000;22098;22680;21724;22110;313626;0
GMKN;D;20200528;000000;22272;22614;22188;22544;243647;0
GMKN;D;20200529;000000;22476;22478;22012;22110;333257;0
GMKN;D;20200601;000000;22378;22412;21826;22026;235072;0
GMKN;D;20200602;000000;22120;22360;21912;22220;293054;0
GMKN;D;20200603;000000;22398;22398;21700;21824;377419;0
GMKN;D;20200604;000000;21510;21614;19738;20000;1704387;0
GMKN;D;20200605;000000;20100;20816;19950;20400;1205826;0
GMKN;D;20200608;000000;20500;20844;20150;20502;498469;0
GMKN;D;20200609;000000;20520;20642;20102;20248;283853;0
GMKN;D;20200610;000000;20304;20360;19870;20240;416696;0
GMKN;D;20200611;000000;19948;20000;19134;19482;817247;0
GMKN;D;20200615;000000;19188;19188;18712;19058;468993;0
GMKN;D;20200616;000000;19360;19912;19300;19472;443775;0
GMKN;D;20200617;000000;19546;19632;19174;19256;285786;0
GMKN;D;20200618;000000;19256;19256;18780;18926;371562;0
GMKN;D;20200619;000000;19050;19414;18920;19004;393392;0
GMKN;D;20200622;000000;18980;19150;18644;19122;245623;0
GMKN;D;20200623;000000;19012;19750;19012;19636;369226;0
GMKN;D;20200625;000000;19402;19892;19234;19850;352108;0
GMKN;D;20200626;000000;19894;20142;19546;19678;272371;0
GMKN;D;20200629;000000;19600;19600;18986;19196;451927;0
GMKN;D;20200630;000000;19190;19238;18650;18784;454814;0
GMKN;D;20200702;000000;18700;18898;18530;18754;370186;0
GMKN;D;20200703;000000;18754;19118;18726;19000;238636;0
GMKN;D;20200706;000000;19202;19378;17896;18260;872985;0
GMKN;D;20200707;000000;17952;18710;17926;18574;526365;0
GMKN;D;20200708;000000;18618;19036;18570;18970;350906;0
GMKN;D;20200709;000000;19002;19078;18422;18596;417504;0
GMKN;D;20200710;000000;18466;18712;18402;18550;234251;0
GMKN;D;20200713;000000;18450;18522;17902;17946;508191;0
GMKN;D;20200714;000000;17872;17890;17350;17826;545214;0
GMKN;D;20200715;000000;17862;18194;17692;17978;344271;0
GMKN;D;20200716;000000;17838;18222;17728;18112;255040;0
GMKN;D;20200717;000000;18120;18378;18102;18350;196249;0
GMKN;D;20200720;000000;18350;18464;18142;18394;227940;0
GMKN;D;20200721;000000;18430;18686;18320;18380;358249;0
GMKN;D;20200722;000000;18400;18400;18078;18234;283860;0
GMKN;D;20200723;000000;18294;18978;18236;18724;468996;0
GMKN;D;20200724;000000;18700;19094;18488;19060;360960;0
GMKN;D;20200727;000000;19196;19796;19128;19790;421498;0
GMKN;D;20200728;000000;19800;19826;19510;19618;257074;0
GMKN;D;20200729;000000;19618;19932;19402;19808;310938;0
GMKN;D;20200730;000000;19700;19808;19510;19620;261390;0
GMKN;D;20200731;000000;19682;19924;19530;19650;202215;0
GMKN;D;20200803;000000;19606;20128;19456;20018;284199;0
GMKN;D;20200804;000000;20070;20414;19936;20398;265632;0
GMKN;D;20200805;000000;20450;20944;20390;20886;352402;0
GMKN;D;20200806;000000;20920;21000;20712;20842;225282;0
GMKN;D;20200807;000000;20780;20800;20232;20438;292938;0
GMKN;D;20200810;000000;20400;20698;20296;20612;211014;0
GMKN;D;20200811;000000;20570;20834;20352;20426;423761;0
GMKN;D;20200812;000000;20418;20822;20308;20770;335358;0
GMKN;D;20200813;000000;20790;21136;20678;20930;385986;0
GMKN;D;20200814;000000;20864;20930;20610;20786;173887;0
GMKN;D;20200817;000000;20850;21098;20540;20710;289274;0
GMKN;D;20200818;000000;20690;20918;20504;20798;214398;0
GMKN;D;20200819;000000;20752;20820;20450;20500;286291;0
GMKN;D;20200820;000000;20440;20440;19808;19988;439094;0
GMKN;D;20200821;000000;20048;20134;19570;19942;310171;0
GMKN;D;20200824;000000;20048;20172;19818;20000;214052;0
GMKN;D;20200825;000000;20050;20130;19692;19830;189389;0
GMKN;D;20200826;000000;19804;20070;19600;19976;269592;0
GMKN;D;20200827;000000;20000;20020;19602;19670;249050;0
GMKN;D;20200828;000000;19712;19770;19300;19364;285183;0
GMKN;D;20200831;000000;19442;19672;19250;19394;402696;0
GMKN;D;20200901;000000;19450;19944;19332;19930;379657;0
GMKN;D;20200902;000000;19968;20238;19526;19916;642620;0
GMKN;D;20200903;000000;19916;20142;19786;19838;276757;0
GMKN;D;20200904;000000;19812;20004;19628;19924;269139;0
GMKN;D;20200907;000000;19910;20052;19814;20006;116644;0
GMKN;D;20200908;000000;20050;20178;19680;19890;285593;0
GMKN;D;20200909;000000;19842;19900;19602;19708;172050;0
GMKN;D;20200910;000000;19704;19804;19378;19528;250528;0
GMKN;D;20200911;000000;19500;19520;19174;19354;309456;0
GMKN;D;20200914;000000;19446;19620;19410;19492;245148;0
GMKN;D;20200915;000000;19502;19776;19450;19634;470620;0
GMKN;D;20200916;000000;19570;19588;19086;19270;687266;0
GMKN;D;20200917;000000;19168;19498;19054;19370;373103;0
GMKN;D;20200918;000000;19432;19512;19252;19300;263142;0
GMKN;D;20200921;000000;19276;19336;18542;18694;449898;0
GMKN;D;20200922;000000;18690;18868;18490;18758;291365;0
GMKN;D;20200923;000000;18750;19286;18682;18860;328750;0
GMKN;D;20200924;000000;18780;18880;18592;18780;258004;0
GMKN;D;20200925;000000;18850;18930;18556;18888;224679;0
GMKN;D;20200928;000000;18900;19010;18716;18826;178182;0
GMKN;D;20200929;000000;18800;18868;18570;18800;171856;0
GMKN;D;20200930;000000;18716;18916;18648;18762;158029;0
GMKN;D;20201001;000000;18850;18942;18708;18726;149732;0
GMKN;D;20201002;000000;18698;18916;18420;18840;286641;0
GMKN;D;20201005;000000;18904;19288;18768;19282;320850;0
GMKN;D;20201006;000000;19300;19480;18746;18782;363433;0
GMKN;D;20201007;000000;18808;18900;18554;18654;261206;0
GMKN;D;20201008;000000;18664;18996;18562;18924;203877;0
GMKN;D;20201009;000000;18988;19488;18820;19450;410354;0
GMKN;D;20201012;000000;19400;19822;19284;19534;323827;0
GMKN;D;20201013;000000;19568;19818;19440;19604;250932;0
GMKN;D;20201014;000000;19658;19880;19580;19792;165700;0
GMKN;D;20201015;000000;19732;19786;19500;19680;206074;0
GMKN;D;20201016;000000;19674;19826;19604;19682;219166;0
GMKN;D;20201019;000000;19702;19988;19672;19858;224030;0
GMKN;D;20201020;000000;19920;20276;19832;20192;318773;0
GMKN;D;20201021;000000;20200;20368;19754;19828;289889;0
GMKN;D;20201022;000000;19788;19850;19504;19672;251576;0
GMKN;D;20201023;000000;19716;19966;19540;19838;198873;0
GMKN;D;20201026;000000;19780;19838;19420;19514;280464;0
GMKN;D;20201027;000000;19502;19526;19100;19150;293322;0
GMKN;D;20201028;000000;19104;19210;18400;18548;377209;0
GMKN;D;20201029;000000;18700;19082;18486;18998;253387;0
GMKN;D;20201030;000000;18898;19112;18654;18864;234711;0
GMKN;D;20201102;000000;18892;19374;18734;19334;225672;0
GMKN;D;20201103;000000;19360;19598;19150;19512;347173;0
GMKN;D;20201105;000000;19612;19818;19526;19684;267176;0
GMKN;D;20201106;000000;19670;20200;19584;20138;341673;0
GMKN;D;20201109;000000;20348;20888;20272;20590;558981;0
GMKN;D;20201110;000000;20620;20788;20312;20626;361480;0
GMKN;D;20201111;000000;20660;20758;20382;20510;328004;0
GMKN;D;20201112;000000;20500;20610;20402;20448;154165;0
GMKN;D;20201113;000000;20530;20538;20156;20486;247144;0
GMKN;D;20201116;000000;20600;20832;20580;20780;242439;0
GMKN;D;20201117;000000;20772;20790;20420;20602;214306;0
GMKN;D;20201118;000000;20570;20850;20480;20720;193063;0
GMKN;D;20201119;000000;20700;20788;20606;20660;169828;0
GMKN;D;20201120;000000;20640;20784;20568;20734;114727;0
GMKN;D;20201123;000000;20764;21094;20764;21028;342647;0
GMKN;D;20201124;000000;21100;21592;21050;21578;279916;0
GMKN;D;20201125;000000;21550;21630;21248;21460;260985;0
GMKN;D;20201126;000000;21500;21660;21450;21570;203314;0
GMKN;D;20201127;000000;21604;21852;21458;21720;215054;0
GMKN;D;20201130;000000;21638;21840;21318;21476;407664;0
GMKN;D;20201201;000000;21576;22064;21552;21908;372752;0
GMKN;D;20201202;000000;21902;22996;21864;22906;566725;0
GMKN;D;20201203;000000;22938;23220;22720;23136;372246;0
GMKN;D;20201204;000000;23150;23400;22810;23188;304778;0
GMKN;D;20201207;000000;23146;23348;22952;23084;185994;0
GMKN;D;20201208;000000;23092;23092;22552;22842;263926;0
GMKN;D;20201209;000000;22800;23426;22786;23170;256129;0
GMKN;D;20201210;000000;23186;24050;23100;24048;392713;0
GMKN;D;20201211;000000;24084;24488;23828;24056;401829;0
GMKN;D;20201214;000000;24122;24468;23812;23944;277172;0
GMKN;D;20201215;000000;23900;24000;23382;23692;243395;0
GMKN;D;20201216;000000;23596;23772;23260;23378;227105;0
GMKN;D;20201217;000000;23430;23980;23312;23472;372410;0
GMKN;D;20201218;000000;23498;23574;23010;23438;341673;0
GMKN;D;20201221;000000;23354;23642;22938;23400;335995;0
GMKN;D;20201222;000000;23280;23948;23186;23760;264654;0
GMKN;D;20201223;000000;23200;23596;23142;23386;221917;0
